Sweep Settings:
Start Voltage (V): 1.05
End Voltage (V): -0.05
Scan Rate (mV/s): 1.0

Analysis Variables:
Cell Area(cm2): 0.0
Power (mWcm-2): 0.0

Voltage(V)   Current (A)
1.05000e+00   4.15707e-01
1.04558e+00   3.54279e-01
1.04116e+00   2.99998e-01
1.03675e+00   2.43920e-01
1.03233e+00   2.00506e-01
1.02791e+00   1.60182e-01
1.02349e+00   1.38148e-01
1.01908e+00   9.71824e-02
1.01466e+00   8.60550e-02
1.01024e+00   5.60659e-02
1.00582e+00   3.68996e-02
1.00141e+00   6.95229e-03
9.96988e-01   -1.08395e-03
9.92570e-01   -1.82465e-02
9.88153e-01   -4.02882e-02
9.83735e-01   -5.39361e-02
9.79317e-01   -6.68400e-02
9.74900e-01   -6.32400e-02
9.70482e-01   -7.35395e-02
9.66064e-01   -7.90814e-02
9.61647e-01   -8.90989e-02
9.57229e-01   -9.47324e-02
9.52811e-01   -1.04656e-01
9.48394e-01   -9.90757e-02
9.43976e-01   -1.05286e-01
9.39558e-01   -1.20366e-01
9.35141e-01   -1.17432e-01
9.30723e-01   -1.19825e-01
9.26305e-01   -1.27243e-01
9.21888e-01   -1.18834e-01
9.17470e-01   -1.26864e-01
9.13052e-01   -1.42303e-01
9.08635e-01   -1.36964e-01
9.04217e-01   -1.36995e-01
8.99799e-01   -1.47145e-01
8.95382e-01   -1.32019e-01
8.90964e-01   -1.40178e-01
8.86546e-01   -1.45452e-01
8.82129e-01   -1.47688e-01
8.77711e-01   -1.38927e-01
8.73293e-01   -1.42129e-01
8.68876e-01   -1.47621e-01
8.64458e-01   -1.47461e-01
8.60040e-01   -1.54048e-01
8.55622e-01   -1.47544e-01
8.51205e-01   -1.36165e-01
8.46787e-01   -1.49157e-01
8.42369e-01   -1.44819e-01
8.37952e-01   -1.39367e-01
8.33534e-01   -1.37109e-01
8.29116e-01   -1.49565e-01
8.24699e-01   -1.44890e-01
8.20281e-01   -1.52180e-01
8.15863e-01   -1.57361e-01
8.11446e-01   -1.51826e-01
8.07028e-01   -1.44011e-01
8.02610e-01   -1.52311e-01
7.98193e-01   -1.54541e-01
7.93775e-01   -1.47688e-01
7.89357e-01   -1.56475e-01
